k,m,n,fout_hz,fvco_hz,vco_duty,logic_delay_ps,rise_fall_skew_ps,setup_min_ps,hold_min_ps,setup_violations,hold_violations,timing_valid,divider_raw_tie_fs,retimed_raw_tie_fs,retimer_added_raw_tie_fs,common_timing_gain,mean_output_duty_percent
34,4,136,816000000,3264000000,0.4,50,0,41.40968851696915,517.8843375131613,0,0,True,3013.3018117785573,156.953262996009,57.66630053249994,0.9996123977178818,49.99997172998246
34,4,136,816000000,3264000000,0.5,50,0,72.04693884746064,487.2470756943619,0,0,True,3013.3018117785573,156.9537647987135,57.66630053281143,0.999612373257133,49.999971729982526
34,4,136,816000000,3264000000,0.6,50,0,102.68418917625807,456.6098138755625,0,0,True,3013.3018117785573,156.95426660957258,57.6663005335298,0.9996123487994508,49.99997172998303
34,4,136,816000000,3264000000,0.5,50,4,72.04693884746064,487.2470756943619,0,0,True,3013.3018117785573,156.95376480189142,57.66630053148719,0.9996123732841026,50.32637173729224
34,4,136,816000000,3264000000,0.4,110,0,-18.59031148214598,577.8843375131235,16289,0,False,3013.3018117847287,,,,
35,4,140,840000000,3360000000,0.4,50,0,36.97844751822228,501.6648648115306,0,0,True,2998.7619799339664,154.34703854207976,58.08211924099024,0.9983317763122148,50.00000260158621
35,4,140,840000000,3360000000,0.5,50,0,66.74034804284948,471.9029663282528,0,0,True,2998.7619799339664,154.3474499722175,58.082119243520964,0.9983317049036305,50.00000260158676
35,4,140,840000000,3360000000,0.6,50,0,96.50224856705317,442.14106784497494,0,0,True,2998.7619799339664,154.3478614178449,58.08211923998841,0.9983316335062854,50.00000260158608
35,4,140,840000000,3360000000,0.5,50,4,66.74034804284948,471.9029663282528,0,0,True,2998.7619799339664,154.34744996308257,58.08211924371057,0.998331704834376,50.33600261267347
35,4,140,840000000,3360000000,0.4,110,0,-23.021552481739878,561.6648648106457,16382,0,False,2998.7619799345025,,,,
36,4,144,864000000,3456000000,0.4,50,0,33.85065243188575,491.83192525115516,0,0,True,3005.745109707722,153.36802849619787,57.93108778405496,1.0031363454953404,50.00004244243159
36,4,144,864000000,3456000000,0.5,50,0,62.78583673993765,462.8967383723582,0,0,True,3005.745109707722,153.36829772817907,57.931087779175975,1.0031361905713054,50.000042442432466
36,4,144,864000000,3456000000,0.6,50,0,91.72102104798955,433.9615514935613,0,0,True,3005.745109707722,153.3685669952397,57.93108777879909,1.0031360357459285,50.00004244243173
36,4,144,864000000,3456000000,0.5,50,4,62.78583673993765,462.8967383723582,0,0,True,3005.745109707722,153.36829770723128,57.93108777940813,1.0031361904103189,50.34564245016742
36,4,144,864000000,3456000000,0.4,110,0,-26.149347568288167,551.8319252511172,16384,0,False,3005.745109708261,,,,
37,4,148,888000000,3552000000,0.4,50,0,32.08888779900949,478.31951856110425,0,0,True,3012.2787310335966,151.81896335251074,57.38839810211072,0.9952180214221795,49.999942232464846
37,4,148,888000000,3552000000,0.5,50,0,60.242040833250584,450.1663639640873,0,0,True,3012.2787310335966,151.81910221200616,57.38839810122026,0.995217939354468,49.999942232464825
37,4,148,888000000,3552000000,0.6,50,0,88.39519386664465,422.01320936791745,0,0,True,3012.2787310335966,151.8192410956224,57.388398104556764,0.9952178573096705,49.99994223246461
